식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
소보로빵,394,8.645,14.19,57.925,16.725,342.5,42.115,6.5,0.435,2,1,1,1,2
소불고기,215.6,12.268,15.622,5.342,3.302,329.6,51.242,6.074,0.13,0,1,1,0,1
소사태찜,123.3333333,11.5,4.203333333,9.1,2.59,232,26.73666667,1.136666667,,0,1,0,0,1
소세지빵,262,5.38,15.38,25.38,6.92,354,11.54,3.85,0,1,0,1,1,2
소시지 케첩볶음,216.25,10,14.5,11.18,4.1025,576.25,39.42,4.0975,,0,1,1,0,1
소시지볶음,172.5,7.89,11.24333333,10.00833333,3.271666667,545.1666667,27.23833333,3.37,0.095,0,1,1,0,1
소시지조림,215,11.65,13.06,12.775,4.355,1088,42.76,4.055,,0,1,1,0,1
소시지튀김,295,13,17.575,19.25,1.2925,912,122.1375,4.5825,,1,1,2,0,2
소안심스테이크,197,16.6,12.51,2.64,1.57,242,52.59,5.39,,0,1,1,0,1
소탕,58,5.1,3.57,1.27,0.02,236,0,0.39,0.01,0,0,0,0,0
송어 매운탕,54,6.6,1.35,4.03,1.56,247,18.27,0.32,,0,0,0,0,0
수수밥,128.4,2.438,0.364,27.91,0.062,1.8,0,0.076,0,1,0,0,0,1
수수부꾸미,248,5.73,6.29,42.1,0.24,261,0,0.97,0.03,2,0,1,0,1
수수팥떡,204,6.7,0.59,43.03,2.82,242,0,0.16,0,2,0,0,0,1
소고기수육\,155.5,25.365,4.935,1.69,0.255,343,76.925,1.85,0.26,0,2,0,0,1
소꼬리수육,84,6,6.27,0,0,16,23.58,1.85,,0,0,1,0,0
수제비,88,2.9,0.27,17.65,0.48,96,5.4,0.07,,1,0,0,0,0
김치수제비,67,2.6,0.29,12.81,0.35,178,7.99,0.07,,0,0,0,0,0
숙주나물,20.8,1.484,1.04,1.902,0.418,340.2,0,0.14,0,0,0,0,0,0
순대,190,5.974,6.84,25.702,1.04,533.2,87.776,1.826,0.03,1,0,1,0,1
순대국,51.5,2.898333333,2.181666667,5.155,0.305,182.6666667,18.50666667,0.725,0.015,0,0,0,0,0
순대볶음,117.2,3.488,4.33,16.38,2.046,327.6,13.956,1.434,0.03,1,0,0,0,1
순대전골,76,5.61,3.18,6.28,0.68,160,17.49,1.22,,0,0,0,0,0
순두부찌개,25,3,0.84,1.36,0.61,122,5.06,0.18,,0,0,0,0,0
숭어 매운탕,51,6.8,0.87,4.11,1.56,241,15.99,0.18,,0,0,0,0,0
스크램블드에그,164.5,10.84,12.14166667,1.695,0.586666667,346.3333333,254.53,2.98,0.345,0,1,1,0,1
부채살스테이크,186,10.77,13.41,5.63,2.21,92,30.93,3.47,0.4,0,1,1,0,1
등심스테이크,194,30.22,8.07,0.14,0,134,84.18,3.85,0.35,0,2,1,0,1
안심스테이크,183,34.82,4.83,0.13,0,103,80.25,0.22,0,0,2,0,0,1
알리오올리오,171,4.78,7.44,21.33,1.08,229,13.1,1.03,0.01,1,0,1,0,1
까르보나라,159,4.02,7.78,18.29,2.63,205,9.26,4.79,0.01,1,0,1,0,1
로제파스타,158,4.585,7.865,17.23,3.705,268.5,10.475,4.115,0.025,1,0,1,0,1
크림파스타,226,4.81,17.21,13.06,1.98,226,16.35,10.96,0.04,0,0,1,0,1
뇨끼,172,4.7,8.7,18.8,1.5,345,,4.2,,1,0,1,0,1
미트 토마토 파스타,185,3.13,4.86,30.21,8.33,484,5.9,0.69,,1,0,0,1,1
양송이버섯스프,73.5,1.595,4.075,7.645,2.44,211.5,8.84,2.15,0.055,0,0,0,0,0
시금치 된장국,14.25,1.125,0.31,2.1,0.63,231,0.0775,0.0575,,0,0,0,0,0
시금치나물,37,2.135,2.0125,3.175,0.6925,208.25,0,0.2375,0.12,0,0,0,0,0
시래기 된장국,14.5,0.95,0.415,2.045,0.3675,223,0.0075,0.0575,,0,0,0,0,0
시래기나물,59,2.05,1.715,10.55,3.27,1036.5,0,0.28,,0,0,0,0,0
시래기나물무침,114,4.32,7.28,7.74,0.54,514,0,0.9,0.02,0,0,1,0,1
시루떡,220.5,4.62,1.23,47.835,1.63,236.5,0,0.175,0,2,0,0,0,1
시리얼+우유,85,2.9,2.24,13.15,7,73,6.86,1.39,,0,0,0,1,0
식빵,264,9.34,2.6,50.91,1.56,468,5.57,1.47,0.11,2,1,0,0,2
식혜,87,1.53,1.75,16.21,11.36,2,0,0.04,0,1,0,0,1,0
쌀국수,62,2.3,0.802,11.452,0.48,406.4,8.812,0.194,0.02,0,0,0,0,0
쌀밥,135.3333333,2.586666667,0.333333333,29.63333333,0.11,0.666666667,0,0.1,0,1,0,0,0,1
쌀죽(흰죽),52.5,1.16,0.15,11.44,0,14.5,0,0.05,0,0,0,0,0,0
쑥 된장국,21.33333333,1.8,0.636666667,2.42,0.476666667,217.6666667,4.02,0.103333333,,0,0,0,0,0
쑥갓나물,19,1.3,0.95,1.85,0.1,276.75,0.0075,0.14,,0,0,0,0,0
쑥갓무침,40,2.5,1.96,4.01,0.24,237,0,0.31,,0,0,0,0,0
쑥갓오이무침,37,1.9,1.06,5.575,0.385,156.5,0,0.17,,0,0,0,0,0
쑥떡,249,3.36,0.4,57.89,10.72,254,0,0.2,0,2,0,0,1,1
쑥전(부침개),127,4.8,6.29,13.44,0.02,538,34.08,1.12,,1,0,1,0,1
쑥튀김,234,6.6,13.71,19.95,0.09,552,100.63,2.5,,1,0,1,0,1
씀바귀나물,38,1.5,1.11,6.54,1.87,296,0,0.16,,0,0,0,0,0
씀바귀나물무침,97,3.87,1.73,16.57,1.28,204,0,0.36,0.08,1,0,0,0,0
아구탕,41,6.3,0.82,2.13,0.3,311,53.16,0.13,0,0,0,0,0,0
아귀 매운탕,33,4.3,0.566666667,3.12,0.866666667,190.6666667,11.42333333,0.093333333,,0,0,0,0,0
아귀지리,21,3.97,0.13,0.89,0.2,87,14.01,0.02,,0,0,0,0,0
아귀찜,50.4,6.2,1.306,3.566,0.952,221.6,37.436,0.206,0.015,0,0,0,0,0
아욱 된장국,15.5,1.2,0.3025,2.425,0.36,222.25,0.265,0.055,,0,0,0,0,0
알밥,94.4,2.826,2.034,15.918,0.944,214,25.632,0.326,0.03,1,0,0,0,0
알탕,32,4.585,0.63,2.08,0.33,176.5,61.125,0.12,0.01,0,0,0,0,0
앙버터빵,372,7,19.72,41.64,16.29,221,31.27,10.53,0.39,2,0,2,1,2
애호박 된장국,23,2,0.48,3.18,0.97,283,1.78,0.09,,0,0,0,0,0
애호박 볶음,61.5,1.21,4.285,4.775,1.1,325.5,0,0.595,0.04,0,0,0,0,0
애호박나물,37,1.3,1.44,5.51,2.64,162,0.94,0.21,,0,0,0,0,0
애호박부침개,159,4.6,6.56,19.42,1.2,429,48.65,1.22,,1,0,1,0,1
애호박전,112.2,3.17,7.096,8.65,1.596,172.6,44.862,1.21,0.08,0,0,1,0,1
애호박죽,77,1.4,0.96,15,0.43,57,0,0.16,,1,0,0,0,0
애호박찌개,17,0.9,0.17,3.54,1.53,264,0,0.04,,0,0,0,0,0
애호박찜,73.5,3.725,2.7625,8.7725,2.0075,490.75,8.2075,0.5425,0.07,0,0,0,0,0
약과,399,4.2,4.75,84.89,16.89,57,0,1.22,0.04,2,0,0,1,2
약식,220,4.325,2.385,45.335,11.725,227,0,0.32,0.005,2,0,0,1,1
양념 도토리묵,55,1.1,1.27,9.91,0.15,363,0,0.2,,0,0,0,0,0
양념 돼지고기튀김,189,12.9,8.58,13.89,2.19,347,40.52,1.81,,1,1,1,0,1
양념 바지락젓,50,5.8,1.97,2.07,0.81,1,6.27,0.26,,0,0,0,0,0
양념두부,68,6.2,3.39,2.99,0.09,105,0,0.51,,0,0,0,0,0
양념채김치,53,3.3,1.55,7.5,3.61,1065,8.59,0.27,,0,0,0,0,0
양미리조림,117,13.98666667,3.186666667,6.77,1.753333333,427.6666667,105.77,0.783333333,0.01,0,1,0,0,1
양배추 초나물,65.5,2,2.75,9.445,5.605,175,0,0.43,,0,0,0,1,0
양배추김치,39,2.2,0.39,8.29,4,2099,5.19,0.09,,0,0,0,0,0
양배추나물,71,2.2,3.76,8.69,4.42,799,0.01,0.58,,0,0,0,0,0
양배추오이  샐러드,188,1.8,17.09,8.2,4.28,120,4.94,2.47,,0,0,1,0,1
양상추 샐러드,78.5,1.4,6.215,4.78,3.125,111.5,19.14,0.98,,0,0,1,0,0
양송이 덮밥,93,1.9,0.65,19.64,1.27,46,0,0.12,,1,0,0,0,0
양장피,98.33333333,9.566666667,3.41,7.203333333,2.246666667,406.6666667,76.57666667,0.71,0.03,0,1,0,0,0
양태구이,107,14,5.11,0.1,0,672,39.9,0.76,,0,1,0,0,0
양파 소고기전,155,5,10.63,8.88,3.51,435,44.98,2.11,,0,0,1,0,1
양파링튀김,411,3.86,25.23,43.58,5.43,776,0,4.19,0.16,2,0,2,1,2
양파볶음,63.66666667,0.93,3.966666667,6.313333333,5.63,306.6666667,0,0.55,0.01,0,0,0,1,0
양파장아찌,63,0.6,0.03,16.05,15.42,6050,0,0.01,,1,0,0,1,0
어묵 감자볶음,208.3333333,8.2,9.086666667,23.59666667,4.36,558,12.31333333,1.446666667,,1,1,1,0,1
어묵 매운탕,38.75,2.7,0.845,5.505,1.4,230.25,5.17,0.1625,,0,0,0,0,0
어묵 오이무침,127,7.7,3.073333333,18.16666667,5.5,531.6666667,11.52333333,0.56,,1,1,0,1,1
어묵 우동,61.25,1.85,0.8175,11.1775,0.195,205,0.7375,0.18,,0,0,0,0,0
어묵국,36.5,2.7,0.8575,4.695,0.9175,343.5,8.0875,0.165,,0,0,0,0,0
어묵국물,7,0.5,0.13,1.05,0.14,234,0.03,0.03,,0,0,0,0,0
어묵볶음,178.4,8.422,7.17,20.108,6.03,805.6,13.344,1.182,0.05,1,1,1,1,1
어묵잡채,127,6.6,6.54,10.005,2.23,426.5,15.595,1.72,,0,0,1,0,1
어묵전,274,12.6,11.41,28.78,2.315,913,94.375,2.17,,1,1,1,0,2
어묵조림,169.8,8.366,5.942,20.788,4.554,740.4,12.528,0.99,0.05,1,1,0,0,1
어묵탕,26.5,1.825,0.63,3.52,0.6825,236.25,2.755,0.115,,0,0,0,0,0
어묵튀김,179.25,8.45,8.945,15.65,1.91,811.25,61.8275,1.6375,,1,1,1,0,1
어육소시지전,177,8.23,10.14,12.73,2.04,441,72.72,2.82,,0,1,1,0,1
어죽,69,2.55,0.94,12.6,1.23,263,4.43,0.21,0,0,0,0,0,0
어탕,57,8.47,2.06,1.21,0,323,35.04,0.29,0.01,0,1,0,0,0
얼갈이 겉절이,23.75,1.1825,0.575,4.1325,1.735,241.5,0.2,0.0975,,0,0,0,0,0
얼갈이 나물,48,1.9,3.05,3.98,0.675,1483,0,0.47,,0,0,0,0,0
얼갈이 된장국,12,0.9,0.355,1.6325,0.4075,199.5,0.005,0.0525,,0,0,0,0,0
연근전,82,1.9,3.525,10.26,0.57,14,16.85,0.605,,0,0,0,0,0
연근조림,140.5,2.373333333,2.603333333,27.38833333,3.928,458.1666667,0,0.353333333,0.01,1,0,0,0,1
연근튀김,173.6666667,3.533333333,9.216666667,18.22666667,1.053333333,443.6666667,43.5,1.566666667,,1,0,1,0,1
연두부찌개,42,4.8,1.48,2.59,0.95,291,26.58,0.24,,0,0,0,0,0
연두부찜,67.75,4.975,3.37,4.3625,1.1225,191,0,0.4225,,0,0,0,0,0
연어구이,191.2,22.316,10.556,0.248,0.11,919.6,63.708,1.616,0.08,0,2,1,0,1
연어롤,170,6.19,5.13,24.77,2.82,404,20.66,0.94,0.03,1,0,0,0,1
연어튀김,149,13.1,5.71,9.66,0.01,971,59.01,1.01,,0,1,0,0,1
연포탕,54,9.49,0.9,2.02,0.02,234,105.75,0.18,0.01,0,1,0,0,0
열무 된장국,20,2.1,0.506666667,2.09,0.476666667,335.3333333,5.99,0.1,,0,0,0,0,0
열무김치,36,2.39,0.38,5.87,0.68,583,0,0.06,0,0,0,0,0,0
열무나물,82,3.91,5.3,4.76,0.6,460,0,0.66,0.18,0,0,0,0,0
영양돌솥밥,131.8,2.702,0.888,27.584,1.068,27.8,0,0.19,0.01,1,0,0,0,1
오겹살,408,20.18,35.14,2.72,0.72,76,45.6,10.23,0.24,0,2,2,0,2
오곡밥,158,4.245,0.6375,32.8,0.19,156.5,0,0.1525,0,1,0,0,0,1
오리 간장불고기,98,12.6,2.41,6.16,2.93,313,54.37,0.76,,0,1,0,0,0
오리감자죽,97,3.7,2.14,15.11,0.28,121,9.72,0.41,,1,0,0,0,0
오리고기구이,293,24.06,19.7,4.89,0,708,132.33,4.82,0.09,0,2,2,0,2
오리고기로스,170.25,25.215,6.6525,0.71,0.0775,422.75,119.135,2.3225,,0,2,1,0,1
오리백숙,129,8.483333333,7.436666667,6.49,0.34,251,40.88,2.123333333,0.05,0,1,1,0,1
오리볶음,171,10.47,11.27,7.3,2.65,254,52,3.59,,0,1,1,0,1
오리불고기,107.75,9.9675,4.0025,7.9875,4.3225,275,43.67,1.0375,0.05,0,1,0,0,0
오리죽,155,7.5,4.99,19.95,0,62,36.07,1.16,0.02,1,1,0,0,1
오리탕,110.4,6.456,5.634,8.364,1.886,267.6,27.57,1.636,0.04,0,0,0,0,1
오므라이스,121.8,3.768,3.24,18.686,1.894,212.4,43.234,0.684,0.02,1,0,0,0,1
오믈렛,112.3333333,8.133333333,7.486666667,2.186666667,0.786666667,352,150.5433333,1.986666667,,0,1,1,0,1
오븐스파게티,122,5.6,3.49,16.77,1.75,120,9.37,1.97,,1,0,0,0,1
오이 도라지 생채,41,1.25,0.495,8.9425,3.83,237.25,0,0.0875,,0,0,0,0,0
오이고추 된장무침,32,1.4,0.91,5.18,1.46,313,0,0.15,,0,0,0,0,0
오이김치,38.8,2.432,0.392,7.366,2.278,1631.2,2.528,0.078,0,0,0,0,0,0
오이나물,73,1.3,6.44,2.953333333,1.04,309.6666667,0,0.963333333,,0,0,1,0,0
오이무침,43.33333333,1.466666667,1.803333333,6.336666667,3.173333333,146.3333333,0,0.28,,0,0,0,0,0
오이소박이,37.66666667,2.13,0.486666667,6.73,2.993333333,896.3333333,1.786666667,0.1,0,0,0,0,0,0
오이장아찌,52,1.386666667,2.646666667,5.986666667,3.033333333,1574,0,0.413333333,0,0,0,0,0,0
오이지무침,67.4,1.142,4.136,6.994,3.606,1167.8,0,0.598,0.01,0,0,0,0,0
오징어국,22.6,3.324,0.452,1.38,0.44,207.2,37.602,0.084,0,0,0,0,0,0
오징어무침,87,10.16666667,1.566666667,8.346666667,5.106666667,199,112.3866667,0.316666667,,0,1,0,0,0
오징어볶음,96,9.138333333,3.045,8.073333333,3.016666667,292.8333333,104.025,0.531666667,0.03,0,1,0,0,0
오징어불고기,123,16.4,3.233333333,7.25,2.813333333,366,186.37,0.593333333,,0,1,0,0,1
오징어산적,127,21.72,2.47,4.5,1.14,596,292.81,0.34,0,0,2,0,0,1
오징어순대,88,9.88,1.3,9.05,0.305,342.5,106.135,0.295,0,0,1,0,0,0
오징어젓_양념,60,10.1,0.7,3.4,2.4,2151,144.7,0.2,0,0,1,0,0,0
오징어조림,81.25,10.3125,1.155,7.37,2.9875,584,110.8775,0.2875,0.01,0,1,0,0,0
오징어찌개,28.25,3.4,0.36,2.8825,0.7725,216.25,33.29,0.08,0,0,0,0,0,0
오징어찜,56,8.5,1.32,2.61,0.73,113,85.77,0.26,,0,1,0,0,0
오징어채무침,240.8,29.4,5.798,17.414,8.038,930.2,341.506,1.118,0.03,1,2,0,1,1
오징어채볶음,157.8,16.89,5.022,11.068,5.918,502.4,103.704,0.784,0.05,0,1,0,1,1
오징어채조림,240,23.52,4.9,25.36,13.78,1130,236.72,0.82,0.02,1,2,0,1,1
오징어탕수,178,11.025,7.8575,14.8525,4.8775,245.75,141.99,1.38,,1,1,1,0,1
오징어튀김,122,8.7,6.135,6.895,0.03,175.5,105.68,1.04,,0,1,1,0,1
오징어포조림,133,15.5,1.77,13.03,5.79,449,209.6,0.43,,0,1,0,1,1
옥돔구이,39,4.91,1.92,0.11,0,33,23.02,0.34,,0,0,0,0,0
찐옥수수,185,6.68,2.42,34.2,2.36,90,0,0.29,0,1,0,0,0,1
옥수수구이,148,1.43,9.01,15.41,4,173,3.84,1.55,,1,0,1,0,1
옥수수밥,127.25,2.45,0.4475,27.325,0.405,2.75,0,0.1125,,1,0,0,0,1
옥수수부침,178.6666667,3.2,7.63,23.93333333,2.516666667,432.3333333,0.356666667,1.146666667,,1,0,1,0,1
옥수수샐러드,129.5,1.35,7.335,15.01,5.575,261,2.085,1.06,,1,0,1,1,1
올갱이국,24,2.28,0.7,2.17,0.27,336,14.23,0.13,0,0,0,0,0,0
올갱이국수,38,0.75,0.55,7.44,1.24,258,0,0.1,0,0,0,0,0,0
크로플,351,6.641666667,1.8,6.31,11.295,332,5.96,10.31666667,0.05,0,0,0,1,2
완두콩밥,124.75,2.45,0.36,26.7175,0.1625,1.5,0,0.1,,1,0,0,0,1
완자전,265.25,9.05,19.125,13.26,0.45,136.25,72.96,4.1375,,0,1,2,0,2
완자조림,170.25,14,6.4125,12.8375,2.49,224,54.5875,1.415,,0,1,1,0,1
우거지나물무침,86,3,5.67,5.8,1,515,0.87,0.67,0.07,0,0,0,0,0
우동,61.25,1.8425,0.8175,11.19,0.2025,203.75,0.7375,0.18,,0,0,0,0,0
우동볶음,128,2.8,2.01,24.79,0.43,257,0,0.49,0.03,1,0,0,0,1
우럭 매운탕,30,3.75,0.555,2.74,0.905,159,1.655,0.13,,0,0,0,0,0
우럭구이,143,17.36666667,7.283333333,0.58,0,884.3333333,67.46666667,1.18,,0,1,1,0,1
우럭튀김,289,24.7,12.12,19.21,0.02,1919,52.28,2.29,,1,2,1,0,2
우럭회덮밥,67,3.49,0.77,11.47,1.55,64,1.85,0.14,,0,0,0,0,0
우엉 양념구이,67,1.7,1.41,12.06,1.59,60,0,0.22,,0,0,0,0,0
우엉볶음,112.5,2.9,6.4,11.465,1.93,321,0,0.965,,0,0,1,0,1
우엉조림,117.6,3.532,2.658,20.708,9.434,517.2,0.574,0.462,0.07,1,0,0,1,1
울면,79,4.02,0.855,13.435,0.405,219,37.11,0.21,0,1,0,0,0,0
월남쌈,118,5.94,4.97,12.25,5.5,230,31.58,2.13,0.02,0,0,0,1,1
유과,424,2.81,12.83,74.23,24.15,23,0,1.37,0.04,2,0,1,2,2
유부 된장국,72.5,4.8,4.655,2.71,0.645,324,5.625,0.735,,0,0,0,0,0
유부 초밥,199.3333333,5.866666667,6.91,27.1,2.216666667,133.3333333,0,1.103333333,,1,0,1,0,1
유부조림,254,13.7,18.34,7.95,3.23,243,0,2.85,,0,1,2,0,2
유산슬,73,7.81,2.863333333,4.153333333,1.103333333,248,46.23666667,0.523333333,0.03,0,1,0,0,0
유채나물,53.6,4.4,2.196,5.76,1,643,0,0.318,0.04,0,0,0,0,0
유채무침,60,3.4,0.67,12.47,6.2,227,0,0.12,,0,0,0,1,0
육개장,38.5,3.34,2.065,1.535,0.54,266,15.07,0.5,0,0,0,0,0,0
육회,144,9.715,7.04,10.645,7.54,331,44.985,2.045,0.08,0,1,1,1,1
율무밥,118,2.2275,0.1725,25.55,0.01,2,0,0.05,,1,0,0,0,1
율무죽,77,3.26,0.98,13.75,0.1,1,0,0.15,0,1,0,0,0,0
은대구구이,137,9.2,10.5,0.03,0,762,53.2,2.14,,0,1,1,0,1
인절미,242,5.64,2.16,50.07,6.35,297,0,0.24,0,2,0,0,1,1
임연수구이,174.4,18.064,10.292,0.856,0,641.6,63.912,1.984,0.68,0,1,1,0,1
임연수조림,117.5,12.9,4.49,5.725,3.26,254.5,41.27,0.955,,0,1,0,0,1
임연수튀김,275.5,19.6,14.7625,13.3725,0.02,901.5,92.315,2.7475,,1,2,1,0,2
잉어 매운탕,52,5.7,1.5,4.08,1.56,231,19.04,0.28,,0,0,0,0,0
자장면,120.1666667,3.821666667,2.045,21.03166667,2.51,339.6666667,2.23,0.518333333,0.02,1,0,0,0,1
자장밥,135,3.66,4.59,19.79,0.55,274,5.52,1.145,0.02,1,0,0,0,1
잔멸치 튀김,67,4,4.12,2.9,0,510,36.92,0.66,,0,0,0,0,0
잔멸치볶음,177,17.4675,6.4825,11.6425,5.5625,1067.25,88.65,1.1425,0.05,0,1,1,1,1
잡곡밥,128.6666667,3.533333333,0.656666667,26.61,0.263333333,1.666666667,0,0.16,0,1,0,0,0,1
잡채,146,4.71,3.3,24.26,0.73,360,22.66,0.55,0.07,1,0,0,0,1
잡채밥,114.8,3.144,1.884,20.702,0.668,109.8,3.7,0.324,0.05,1,0,0,0,1
잡탕밥,109.5,5.69,2.26,16.31,0.165,184.5,37.195,0.455,0.02,1,0,0,0,0
잡탕전골,56,4.9,1.73,4.99,0.73,279,23.68,0.47,,0,0,0,0,0
잣죽,132.3333333,2.746666667,3.83,21.64333333,0.356666667,144.6666667,0,0.323333333,0.03,1,0,0,0,1
장국국수,107.75,4.8,2.3525,15.675,0.445,420.5,21.3175,0.6075,,1,0,0,0,0
장떡,197,3.67,7.64,27.28,2.26,267,0,1.16,,1,0,1,0,1
장어 덮밥,95,3.5,1.99,15.04,0.42,80,23.52,0.48,,1,0,0,0,0
장어 양념구이,331,16.5,21.405,16.9,5.14,774.5,198.985,5.685,,1,1,2,0,2
장어 초밥,95,3.5,1.99,15.04,0.42,80,23.52,0.48,,1,0,0,0,0
장어구이,196.5,14.935,12.73,5.5,1.16,264.5,122.63,3.45,0.34,0,1,1,0,1
장어매운탕,46.66666667,4.6,1.71,3.263333333,1.24,183.3333333,35.76666667,0.393333333,,0,0,0,0,0
장어탕,67,4.32,3.91,3.68,2.66,387,33.75,0.63,0.02,0,0,0,0,0
장어튀김,209,10.2,14.75,6.64,0.01,899,137.7,3.71,,0,1,1,0,1
재첩국,21,1.485,0.455,2.8,0.065,174.5,3.15,0.06,0,0,0,0,0,0
쟁반국수,112,4.1,2.325,18.95,2.895,161.5,26.82,0.545,,1,0,0,0,1
쟁반짜장,145,5.85,2.63,23.63,2.42,321,18.56,0.53,,1,0,0,0,1
적어구이,174,20.9,9.04,0.31,0,1203,69.39,1.32,,0,2,1,0,1
적어조림,54,7,0.95,3.33,1.09,142,21.68,0.14,,0,0,0,0,0
전갱이구이,226,27.7,11.75,0.17,0,1200,97.77,2.34,,0,2,1,0,1
전복죽,103,2.755,2.9175,15.7625,0.0875,192,12.955,0.37,0,1,0,0,0,0
전복탕,33,4.47,0.5,2.63,0.22,296,48.56,0.1,0,0,0,0,0,0
전어구이,33,5.86,0.82,0.06,0,193,21.38,0.25,,0,0,0,0,0
전어조림,60,9,1.22,1.9,0.69,93,31.13,0.36,,0,1,0,0,0
절편,197,3.82,0.8,43.58,0.08,258,0,0.25,0,2,0,0,0,1
돼지고기 수육,149,16.76666667,7.703333333,1.616666667,0.35,300.3333333,60.16,2.763333333,,0,1,1,0,1
키조개구이,130,17.43,2.07,10.44,3.6,454,25.29,0.09,0,0,1,0,0,1
조개국,16,1.67,0.89,0.25,0.18,297,4.01,0.05,0,0,0,0,0,0
조개탕,12,1.8,0.15,0.7,0.18,111,2.98,0.03,,0,0,0,0,0
조기구이,156.8,16.886,8.5,2.012,0.018,702,54.2,1.9,0.12,0,1,1,0,1
조기조림,128,13.7,6.27,4.27,1.5,590,76.06,1.67,0.03,0,1,1,0,1
조기찌개,23,2.4,0.64,1.93,0.59,94,5.5,0.16,,0,0,0,0,0
조기찜,108,12.82,5.216666667,2.266666667,0.586666667,284.6666667,61.47,1.356666667,0.08,0,1,0,0,0
조기튀김,144,13.4,7.77,3.62,0.01,84,60.51,1.6,,0,1,1,0,1
족발,226.5,27.475,12.78,0.465,0.14,338.5,92.13,4.215,0.05,0,2,1,0,1
주꾸미볶음,84.66666667,7.653333333,2.133333333,9.143333333,2.903333333,317,133.5866667,0.306666667,0.01,0,1,0,0,0
주꾸미삼겹살,161,10.11,8.66,10.66,5.41,280,70.76,2.29,0.03,0,1,1,1,1
주먹밥,135,2.3,2.09,25.52,0.88,105,0,0.36,,1,0,0,0,1
죽순볶음,133,4.3,10.85,6.19,1.48,1,0,1.65,,0,0,1,0,1
중식우동,91,4.73,0.84,15.29,0.82,202,28.82,0.21,,1,0,0,0,0
중식잡채,83,2.3,2.24,13.58,1.13,112,5.34,0.54,,1,0,0,0,0
쥐포무침,318.5,27.75,7.935,34.61,23.035,1461.5,66.7,1.32,,1,2,1,2,2
쥐포조림,189.4,14.966,4.168,23.156,14.488,678.2,40.52,0.68,0.04,1,1,0,1,1
쥐포튀김,270.5,11.66,12.97,26.52,8.195,504,32.005,1.875,0.1,1,1,1,1,2
증편,200,3.17,1.2,44.15,3.19,284,0,0.15,0,2,0,0,0,1
지리탕,44,6.93,1.03,1.65,0.25,246,47.18,0.18,0.02,0,0,0,0,0
짜사이무침,43,0.4,3.04,3.66,2.8,947,0,0.46,,0,0,0,0,0
짬뽕,70.4,3.078,1.298,11.41,0.778,149,13.974,0.236,0.01,0,0,0,0,0
차돌짬뽕,88,4.58,3.42,9.82,0.69,342,17.83,0.85,0.02,0,0,0,0,0
짬뽕밥,76.66666667,3.3,1.363333333,12.46,0.79,116,21.27333333,0.276666667,0.01,0,0,0,0,0
쫄면,120.4,3.32,1.212,23.828,3.976,510.6,3.868,0.206,0,1,0,0,0,1
쫄볶이,150,4.7,1.41,29.37,3.97,652,10.84,0.58,,1,0,0,0,1
차돌박이구이,488,17.94,45.69,1.31,0.33,93,47.28,16.24,3.79,0,1,2,0,2
차조밥,126.8,2.344,0.332,27.566,0.06,1.6,0,0.08,0,1,0,0,0,1
찰밥,131,2.93,0.286666667,28.35333333,0.256666667,1.666666667,0,0.086666667,0,1,0,0,0,1
찰시루떡,181,6.63,0.41,37.63,1.22,182,0,0.13,0,2,0,0,0,1
참나물,37.6,1.428,1.534,5.236,0.276,202.4,0,0.246,0.01,0,0,0,0,0
참나물 무침,15,0.7,0.71,1.85,0.14,99,0,0.11,,0,0,0,0,0
참치 미역국,27.33333333,2.9,1.566666667,0.84,0,250.6666667,4.34,0.18,,0,0,0,0,0
참치 샐러드,223.75,13.2,17.685,2.8625,1.7325,264,26.665,2.2875,,0,1,2,0,1
참치 완자전,220,18.8,8.84,14.84,1.73,962,68.45,1.37,,1,2,1,0,1
참치강정,291.5,24.5,10.69,22.365,6.455,854,36.775,1.94,,1,2,1,1,2
참치구이,317,33.5,19.02,0.05,0,1130,10.87,5.4,,0,2,2,0,2
참치덮밥,108,5.8,2.13,15.91,2.05,341,6.14,0.28,,1,0,0,0,0
참치죽,64.2,2.584,1.76,9.418,0.336,137.8,3.28,0.23,0.01,0,0,0,0,0
참치찌개,43,5.533333333,1,3.07,1.256666667,314.6666667,7.606666667,0.103333333,,0,0,0,0,0
찹쌀떡,259,3.98,0.33,60.05,18.72,244,0,0.15,0,2,0,0,1,2
찹쌀죽,63,1.1,0.27,13.39,0.05,130,0,0.06,,1,0,0,0,0
채소 꼬치구이,91,2.8,2.3,14.29,0.98,406,11.61,0.52,,1,0,0,0,0
채소밥,114.3333333,2.6,0.913333333,23.13,0.353333333,134.3333333,0,0.18,,1,0,0,0,1
채소전,184.1666667,4.391666667,7.548333333,23.66333333,1.378333333,249.3333333,26.2,1.36,0.08,1,0,1,0,1
채소죽,58.5,1.41,0.66,11.5925,0.68,155.5,0,0.135,0.005,0,0,0,0,0
채소튀김,157.5,2.35,7.895,18.5,1.36,468,2.82,1.2025,,1,0,1,0,1
천사채무침,73,3.3,5.51,2.95,0.65,248,32.3,1.23,,0,0,0,0,0
청경채나물,14,1.06,0.58,1.59,0.23,156,0.02,0.09,,0,0,0,0,0
