식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
김치말이국수,50,2.15,0.8,8.67,1.38,354,14.83,0.18,0,0,0,0,0,0
막국수,95,3.9,1.095,17.44,2.91,365.5,4.925,0.28,0.01,1,0,0,0,0
비빔국수,102,3.01,0.95,20.47,4.11,239,1.01,0.2,0,1,0,0,0,0
열무국수,75.5,2.52,1.405,12.65,1.1475,305.75,10.4825,0.255,0.01,0,0,0,0,0
잔치국수,44,1.93,0.49,8.05,0.04,216,0.6,0.16,0,0,0,0,0,0
쟁반막국수,119,6.68,4.56,12.81,8.12,513,18.97,0.88,0.04,0,0,0,1,1
국수전골,88,3.4,1.83,14.56,1.09,298,3.89,0.47,,1,0,0,0,0
군만두,219,8.5,9.25,25.22,0.44,237,6.66,2.67,,1,1,1,0,1
굴 두부찌개,21,2.2,0.66,1.48,0.44,98,4.11,0.1,,0,0,0,0,0
굴 미역국,16,1.9,0.47,1.9,0.12,382,1.46,0.09,,0,0,0,0,0
굴국,18.33333333,2,0.66,0.976666667,0.14,216,2.276666667,0.106666667,,0,0,0,0,0
굴무침,77,6.68,2.31,7.3,2.74,204,28.38,0.61,0.03,0,0,0,0,0
굴밥,122,4.3,1.95,21.44,0.66,126,10.38,0.36,,1,0,0,0,1
굴비구이,392,43.41,22.28,0.726666667,0,402.3333333,147.15,4.873333333,,0,2,2,0,2
굴전,177,9.583333333,9.44,12.67333333,1.02,289,84.48333333,1.753333333,0.1,0,1,1,0,1
굴죽,107,2.4,2.99,16.76,0.19,196,1.12,0.48,,1,0,0,0,0
굴찜,142,11.3,4.04,15.7,7.17,923,32.76,0.61,,1,1,0,1,1
귀리밥,162,3.9,0.87,34.54,0.09,0,0,0.16,0,1,0,0,0,1
근대 된장국,12,0.925,0.31,1.6625,0.3275,214,0.0675,0.05,,0,0,0,0,0
근대나물,53,2.5,2.86,5.445,0.485,592,0,0.45,,0,0,0,0,0
기스면,61,3.78,1.07,8.98,0.05,276,41.65,0.21,0,0,0,0,0,0
기장밥,130.4,2.528,0.292,28.432,0.044,1.8,0,0.066,0,1,0,0,0,1
롤링넛츠,329,6,15.9,40.4,9.1,225,,11,,2,0,1,1,2
