,url,title,calories,carbohydrates,protein,fat,ingredients
104,https://www.10000recipe.com/recipe/7045583,술안주레시피 간단한 안주요리 더덕부추전 부추요리 부추전,1435,186,53,56,"부추, 더덕, 청양고추, 달걀, 식용유, 튀김가루, 새우가루, 멸치액젓"
105,https://www.10000recipe.com/recipe/6983882,소떡강정 만드는 법 소떡소떡보다 만들기 쉬운 소떡강정레시피,1740,234,45,75,"비엔나 소세지, 떡볶이떡, 식용유, 통깨, 고추장, 간장, 마늘, 설탕, 올리고당, 케첩"
106,https://www.10000recipe.com/recipe/7006608,애호박새우살볶음 한끼반찬 초스피드요리,420,18,38,22,"애호박, 새우살, 참기름, 마늘, 국간장, 통깨"
107,https://www.10000recipe.com/recipe/6840157,자취라이프 평범한 단무지도 양념에 무쳐서 맛있게 먹자,156,13.6,2.6,10.2,"단무지, 파, 통깨, 고추가루, 참기름, 올리고당"
108,https://www.10000recipe.com/recipe/7035725,가츠동 대신 비비고 만두로 계란 만두 덮밥 만들기,1050,74,41,66,"만두, 양파, 달걀, 진간장, 맛술, 설탕, 멸치액젓, 식용유"
109,https://www.10000recipe.com/recipe/7043734,"간장 멸치볶음 만드는 법, 간단한 밑반찬 만들기",1020,38,78,63,"멸치, 식용유, 마늘, 진간장, 맛술, 올리고당, 깨"
110,https://www.10000recipe.com/recipe/6978378,♥[신혼밥상]오독오독 매운팽이버섯,215,23,6,12,"팽이버섯, 쪽파, 청양고추, 마늘, 식용유, 고추장, 고춧가루, 설탕, 맛술, 간장, 올리고당"
111,https://www.10000recipe.com/recipe/7016910,소고기무국,1120,191,64,16,"소고기국거리, 무, 파, 국간장, 마늘, 소금, 참기름, 쌀뜨물"
112,https://www.10000recipe.com/recipe/7006926,알배추무침 불 쓰지 말고 7분만에 뚝딱‼️ 만들어 보세요,255,17,12,16,"알배추, 파, 된장, 국간장, 참기름, 마늘, 갈은 통깨"
113,https://www.10000recipe.com/recipe/6951564,간단하게 맛난 반찬 만들기 '베이컨 버섯볶음',315,12,18,22,"베이컨, 양파, 새송이버섯, 마늘, 굴소스"
114,https://www.10000recipe.com/recipe/7042695,초간단 시원한 된장 배춧국 레시피,210,31,14,3,"알배추, 코인 육수, 된장, 마늘, 고춧가루, 청양고추, 파, 소금"
115,https://www.10000recipe.com/recipe/6830616,배추 된장 들깨무침,105,6,6,7,"배추, 된장, 들깨, 참기름"
116,https://www.10000recipe.com/recipe/6975337,순두부찜 (다이어트음식에 아주 좋은 순두부요리),540,19,38,34,"순두부, 파, 고추, 마늘, 진간장, 참치액, 맛술, 참기름, 통깨, 고춧가루"
117,https://www.10000recipe.com/recipe/6897383,스팸 돈부리덮밥!반찬이 필요없는 초간단 한그릇 요리,1690,74,108,108,"스팸, 양파, 계란, 파, 간장, 설탕"
