url,title,ingredients,칼로리,탄수화물,단백질,지방
https://www.10000recipe.com/recipe/6893218,혼밥도 즐겁게! 버터갈릭새우,"칵테일새우중간크기 중간크기, 버터 3큰술, 다진마늘 1.5큰술, 파슬리가루 1큰술, 꿀 1큰술, 소금 약간",315,6,23,22
https://www.10000recipe.com/recipe/6843348,돼지고기마늘조림 # 밥위에 쓱쓱,"돼지고기앞다리살 400g, 마늘 1줌, 청주 1T, 생강가루 1/2t, 허브소금 1/2T, 깨 약간, 간장 3T, 설탕 1T, 올리고당 2T, 다진마늘 1/2T, 굴소스 1T, 맛술 2T, 참기름 1T, 물 1/4컵",1120,27,92,70
https://www.10000recipe.com/recipe/6855421,계란덮밥- 아이가 좋아하는 연두부와 달걀의 만남 부드러운 계란덮밥,"계란 3개, 연두부 2개, 치즈 1장, 소금 1/2수저, 들기름 약간, 후추 살짝",780,9,56,58
https://www.10000recipe.com/recipe/7027944,특별하게 넣은것 없는데 맛있는 표고버섯볶음 레시피,"표고버섯손질후 220g 손질후 220g, 다진마늘 1/2T, 식용유 1T, 물 2T, 참기름또는 들기름 또는 들기름, 다진파 2T, 갈은깨 1T, 소금 1/5~1/6T",292,10,6,26
https://www.10000recipe.com/recipe/6949579,다이어트 할 때 저탄고단 고소한 '두부밥',"두부 1/3개, 계란 1개, 밥 3t",285,36,17,7
https://www.10000recipe.com/recipe/6739157,차돌박이 파스타,"차돌박이 15장, 양파 1/2개, 청량고추 2개, 홍고추 1개, 통마늘 5톨, 간장 2숟갈, 굴소스 1숟갈, 맛술 1숟갈, 다진마늘 1숟갈, 후추 약간",1125,68,90,54
https://www.10000recipe.com/recipe/7014837,맑은 감자계란국 끓이는법 아기계란국,"감자 1개, 계란 2개, 대파 조금, 참치액 1스푼, 국간장 1스푼, 소금 1티스푼, 육수 800ml",1025,77,70,52
https://www.10000recipe.com/recipe/7015067,다이어트 양배추 참치 덮밥 만들기 낮은 칼로리로 맛있는 한 끼,"통조림 참치 100g, 현미밥 100g, 양배추 50g, 양파 1/4개, 당근 소량, 진간장 1T, 굴 소스 1T, 맛술 1T, 후추 조금",415,53,27,9
https://www.10000recipe.com/recipe/7043480,최화정 시금치 키쉬/단백질 폭탄 레시피,"또띠아 1장, 계란 2개, 소금 2꼬집, 다진파프리카 1T, 리코타치즈 3T, 시금치 1뿌리, 모짜렐라치즈 3T",1025,45,68,65
https://www.10000recipe.com/recipe/6871815,초 간단 계란 초,"계란 2개, 오이 조금, 당근 조금, 초고추장 조금, 통깨 조금",216,7,14,15
https://www.10000recipe.com/recipe/6907712,나시고랭 :)숙주로 간단한 나시고랭 볶음밥,"다진마늘 1T, 올리브유 1T, 숙주 1/2봉지, 밥 2공기, 계란 2개, 대파 1개, 칵테일새우 10개, 간장 1T, 굴소스 1T, 맛술 2T, 후추 0.5t, 설탕 0.5t",1345,169.5,59.5,45.5
https://www.10000recipe.com/recipe/6841290,[No.1 감자새우덮밥] 고급스러운 중식덮밥,"칵테일새우 10개, 감자 1개, 고추또는 쪽파 또는 쪽파, 굴소스 0.5숟갈, 간장 1숟갈, 다진마늘 0.3숟갈, 물 5숟갈, 들기름 1숟갈, 청주 3숟갈, 후추 약간, 설탕 조금, 녹말감자전분 감자전분, 물 5숟갈",315,38,15,11
https://www.10000recipe.com/recipe/7007929,오이 볶음 오이소고기볶음 소고기오이볶음 오이 반찬 여름 반찬,"​오이 3개, 소금 1작은술, 소고기 70g, ​다진 대파 1/2큰술, 설탕 1/2큰술, 진간장 1큰술, 맛술 1큰술, 후춧가루 조금, ​식용유 1큰술, 다진 마늘 1큰술, 참기름 1/2큰술, 통깨 1큰술",315,10,23,20
https://www.10000recipe.com/recipe/6985504,10분요리) 양배추베이컨볶음!,"양배추채 3줌, 다진마늘 1스푼, 다진파 약간, 베이컨 7줄, 맛술 1T, 후추 톡톡, 진간장 1T, 굴소스 1스푼, 통깨 약간",320,12,18,22
https://www.10000recipe.com/recipe/6837731,굴소스카레볶은밥,"양파 1/2개, 당근 조금, 호박 조금, 청양고추 1개, 햄 조금, 계란 1개, 굴소스 1숟가락, 카레 1숟가락",210,15,12,10
https://www.10000recipe.com/recipe/6952367,다이어트식단~브로콜리 당근 닭가슴살 스크램블!,"닭가슴살 1팩, 당근 1/3등분, 브로콜리 자른것 1줌, 계란 2개, 소금 1꼬집, 올리브유 1큰술",620,15,80,28
https://www.10000recipe.com/recipe/6920397,"#간단한반찬, 고소함 터지는 들깨두부볶음","두부 180g, 들기름 2T, 다진마늘 1t, 간장 1T, 매실청 2T, 들깨가루 1T",315,12,20,21
https://www.10000recipe.com/recipe/7041518,야옹킷친) 밥 비벼 먹기 좋은 참치 두부조림,"두부 1모, 양파 1/2개, 대파 1/2단, 참치 1/2캔, 간장 2T, 설탕 1/2T, 미림 1T, 고추장 1T, 고추가루 2T, 참치액 1T, 굴소스 1/2T, 다진마늘 1T, 후추 조금, 물 150리터",780,45,70,35
https://www.10000recipe.com/recipe/6844208,다이어트 할때는 닭가슴살 깻잎볶음 .,"닭가슴살 300g, 양파 1개, 깻잎 10장, 간장 2T, 맛술 2T, 다진마늘 1T, 후춧가루 조금, 설탕 1T, 참기름 조금",615,31,78,18
https://www.10000recipe.com/recipe/6914310,연두부와 어린새싹,"연두부 1팩, 어린 새싹 약간, 진간장 2큰술, 올리브유 2큰술, 식초 2큰술, 설탕 1큰술, 레몬즙 1큰술, 참기름 1큰술, 다진마늘 1/2큰술, 깨소금 약간",320,10,15,25
https://www.10000recipe.com/recipe/6835355,몬테크리스토,"식빵 6장, 슬라이스치즈 4장, 슬라이스햄 4장, 달걀 2알, 머스타드, 딸기쨈",1740,144,88,96
https://www.10000recipe.com/recipe/6904793,"[핑거푸드] 다이어트에도 좋은 ""파프리카 계란찜""♪","계란 2개, 파프리카 빨강 1개, 파프리카 노랑 1개, 애호박 다진 것 1스푼, 다진당근 1스푼, 대파 다진 것 1스푼, 소금 약간",268,15,18,16
https://www.10000recipe.com/recipe/6992061,"맛없으면 이상한 볶음밥, 버터만두볶음밥","밥 1공기, 만두 4개, 마늘 3알, 대파 1/2대, 굴소스 1숟가락, 참기름 1숟가락, 버터 1/2숟가락, 후추 약간, 식용유 적당량, 달걀프라이",1250,140,40,60
https://www.10000recipe.com/recipe/7009401,팽이버섯 파 계란국 레시피,"계란 1개, 팽이버섯 1줌, 국물용 멸치 10개, 파 10cm, 후추, 소금, 국간장 2.5스푼, 물 1300ml",320,10,30,15
https://www.10000recipe.com/recipe/6948138,닭가슴살 고구마볶음 만들기,"고구마 큰거 1개, 닭가슴살 300g, 양파 1/2개, 대파 1/2뿌리, 홍고추 1개, 간장 1T, 굴소스 1T, 다진마늘 1T, 검정깨, 참기름 1T",1035,94,116,19
https://www.10000recipe.com/recipe/6829153,일본식 두부 덮밥 두부 소보로동 만들기,"두부300g 300g, 간장 2T, 설탕취향에 따라 가감 취향에 따라 가감, 미림 1T, 생강파우더or 생강 다진 것 1/2t or 생강 다진 것 1/2t, 후추 약간, 참기름 1t, 대파 흰대 다진 것 1T",315,15,24,18
https://www.10000recipe.com/recipe/6907784,에어프라이어 깐풍만두 만들기,"만두 13개, 간장 2, 올리고 당 1, 설탕 1, 식초 1, 다진 마늘 1, 대파 1/3, 홍고추 1/2, 후춧가루 적당량",1230,191,58,27
https://www.10000recipe.com/recipe/6899340,미니 새송이버섯 조림,"미니새송이버섯 1봉지, 통마늘 1줌, 양파 1개, 청양고추 1/2개, 간장 2큰술, 굴소스 1큰술, 요리당 2큰술, 물 4큰술, 참기름 1큰술, 통깨 약간",215,18,6,14
https://www.10000recipe.com/recipe/6880341,참치 감자 조림,"감자 1개, 참치캔 1개, 양파 1개, 대파 1대, 청양고추 2개, 다시육수 2컵, 고추장 1큰술, 간장 2큰술, 고춧가루 1큰술, 다진마늘 1큰술, 자일로스설탕 0.5큰술, 후추 톡톡",1025,108,78,33
